review_text,label,split
Destek ekibi ulaşılmazdı. Çözülmedi.,Olumsuz,VALIDATE
"Kargo çok hızlı geldi, ürün kalitesiz çıktı. Hayal kırıklığı.",Olumsuz,TEST
"Genel olarak standart, çok emin değilim.",Nötr,TRAIN
Performansı harika ve parasını hak ediyor. Tekrar alırım.,Olumlu,TRAIN
"Teslimat orta halliydi, paketleme normaldi.",Nötr,TRAIN
Destek ekibi çözüm sunmadı. Memnun değilim.,Olumsuz,TRAIN
"Ürün anlatıldığı gibi değil, performansı kötü. Çok kötü deneyim.",Olumsuz,TRAIN
Malzeme kalitesi kötü. Pişman oldum.,Olumsuz,TRAIN
"Kargo geç geldi, ürün gayet iyi. Çok memnun kaldım.",Olumlu,TRAIN
Beklediğim kadar ortalama hızdaydı ama kullanılabilir.,Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Sorunsuzdu.",Olumlu,VALIDATE
"Paketleme sağlam, ürün çok kaliteli. Sorunsuzdu.",Olumlu,TEST
"Ürün beklediğim gibi değil, sürekli hata verdi. Bir daha almam.",Olumsuz,TRAIN
Destek ekibi ulaşılmazdı. Çözülmedi.,Olumsuz,TRAIN
Stabil ve parasını hak ediyor. Tekrar alırım.,Olumlu,TRAIN
"Ürün yanlış ürün geldi, çalışmadı. Çok kötü deneyim.",Olumsuz,TRAIN
Beklediğim kadar hızlı değildi ama çok da kötü değil.,Nötr,TRAIN
"Genel olarak orta seviye, çok emin değilim.",Nötr,TRAIN
"Kargo zamanında geldi, ürün hasarlı geldi. İade ettim.",Olumsuz,TRAIN
Hızlı çalışıyor ve iyi bir tercih. Tekrar alırım.,Olumlu,TRAIN
Destek ekibi geç döndü. Memnun değilim.,Olumsuz,VALIDATE
Beklentimin üstünde ve fiyatı uygun. Çok memnun kaldım.,Olumlu,TEST
Malzeme kalitesi kötü. Bir daha almam.,Olumsuz,TRAIN
"Genel olarak orta seviye, kararsız kaldım.",Nötr,TRAIN
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
Beklediğim kadar ortalama hızdaydı ama iş görür.,Nötr,TRAIN
Destek ekibi hiç yardımcı olmadı. Memnun değilim.,Olumsuz,TRAIN
"Genel olarak orta seviye, beklentim karışık.",Nötr,TRAIN
"Kargo geç geldi, ürün hasarlı geldi. Değişim istedim.",Olumsuz,TRAIN
"Kargo geç geldi, ürün arızalı çıktı. İade ettim.",Olumsuz,TRAIN
Malzeme kalitesi kötü. Çok kötü deneyim.,Olumsuz,VALIDATE
Beklediğim kadar ortalama hızdaydı ama kullanılabilir.,Nötr,TEST
"Kurulum {kolay}, kullanım {rahat}. Beklentimi karşıladı.",Olumlu,TRAIN
Beklentimin üstünde ve fiyat/performans mükemmel. Kesinlikle tavsiye ederim.,Olumlu,TRAIN
Destek ekibi ulaşılmazdı. Çözülmedi.,Olumsuz,TRAIN
Malzeme kalitesi kötü. Bir daha almam.,Olumsuz,TRAIN
Malzeme kalitesi vasat. Pişman oldum.,Olumsuz,TRAIN
Malzeme kalitesi kötü. Çok kötü deneyim.,Olumsuz,TRAIN
